run_id,timestamp,model,compression,prune_ratio,quant_level,seed,perplexity_dataset,perplexity_split,perplexity,inference_speed,memory_footprint_mb,total_params,nonzero_params,sparsity,model_size_mb,pruning_unstable,eval_device,torch_version,torch_cuda,hostname
gpt2__baseline__prune=__quant=__seed=42,2025-11-06T20:55:04.825571Z,gpt2,,,,42,wikitext-2,test,1761.5009505373628,198.58629965111427,,124439808,124439808,0.0,474.7001953125,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__baseline__prune=__quant=__seed=42,2025-11-06T20:55:08.587539Z,gpt2-medium,,,,42,wikitext-2,test,1510.849553341783,170.68133417919336,,354823168,354823070,2.761939152939874e-07,676.771484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-large__baseline__prune=__quant=__seed=42,2025-11-06T20:55:13.461973Z,gpt2-large,,,,42,wikitext-2,test,508.26017406776543,106.55393466395711,,774030080,774029707,4.818934168371314e-07,1476.34521484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2__pruning__prune=0.1__quant=__seed=42,2025-11-06T20:55:18.508166Z,gpt2,pruning,0.1,,42,wikitext-2,test,1752.071497138393,200.94865781182042,,124439808,120580070,0.031016907387063752,474.7001953125,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2__pruning__prune=0.5__quant=__seed=42,2025-11-06T20:55:24.561256Z,gpt2,pruning,0.5,,42,wikitext-2,test,1813.8506242606209,201.3217351131404,,124439808,105141120,0.1550845208632916,474.7001953125,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2__pruning__prune=0.9__quant=__seed=42,2025-11-06T20:55:32.154511Z,gpt2,pruning,0.9,,42,wikitext-2,test,80352.67012866656,201.3645492175275,,124439808,89702170,0.27915213433951935,474.7001953125,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__pruning__prune=0.1__quant=__seed=42,2025-11-06T20:55:37.375086Z,gpt2-medium,pruning,0.1,,42,wikitext-2,test,1516.0659696902496,174.32836354207117,,354823168,349676765,0.014504134634184873,676.771484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__pruning__prune=0.5__quant=__seed=42,2025-11-06T20:55:44.040514Z,gpt2-medium,pruning,0.5,,42,wikitext-2,test,1393.7800787987724,172.7258337932908,,354823168,329091498,0.07251970085561044,676.771484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__pruning__prune=0.9__quant=__seed=42,2025-11-06T20:55:52.324928Z,gpt2-medium,pruning,0.9,,42,wikitext-2,test,3791646431.9427304,170.52670070302776,,354823168,308506231,0.130535267077036,676.771484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-large__pruning__prune=0.1__quant=__seed=42,2025-11-06T20:55:59.370831Z,gpt2-large,pruning,0.1,,42,wikitext-2,test,516.2490577179265,105.02589616084431,,774030080,767596833,0.008311365625480627,1476.34521484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-large__pruning__prune=0.5__quant=__seed=42,2025-11-06T20:56:08.060544Z,gpt2-large,pruning,0.5,,42,wikitext-2,test,2274.0159883532765,105.49319650896652,,774030080,741865249,0.04155501424440766,1476.34521484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-large__pruning__prune=0.9__quant=__seed=42,2025-11-06T20:56:18.663455Z,gpt2-large,pruning,0.9,,42,wikitext-2,test,48867.85024307306,106.16966692861028,,774030080,716133665,0.0747986628633347,1476.34521484375,False,cuda,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2__quantization__prune=__quant=INT8__seed=42,2025-11-06T20:56:25.440944Z,gpt2,quantization,,INT8,42,wikitext-2,test,1576.3183081841053,68.43150819030215,,124439808,123173829,0.010173424568446832,156.35009765625,False,cpu,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2__quantization__prune=__quant=INT4__seed=42,2025-11-06T20:56:53.937325Z,gpt2,quantization,,INT4,42,wikitext-2,test,1459.1221660974002,71.97421633443885,,81972480,81971685,9.69837682107677e-06,115.85009765625,False,cpu,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__quantization__prune=__quant=INT8__seed=42,2025-11-06T20:57:04.077244Z,gpt2-medium,quantization,,INT8,42,wikitext-2,test,1210.705266095949,27.669822164879413,,354823168,350691966,0.011642988318057101,388.771484375,False,cpu,2.9.0+cu128,12.8,c0602a-s8.ufhpc
gpt2-medium__quantization__prune=__quant=INT4__seed=42,2025-11-06T20:57:10.681573Z,gpt2-medium,quantization,,INT4,42,wikitext-2,test,1266.0577204590272,76.63853619831708,,203828224,203826746,7.251203837155273e-06,244.771484375,False,cpu,2.9.0+cu128,12.8,c0602a-s8.ufhpc
